,,Model,Make_Year,Driven_Kilometers,Fuel,Transmission,Owner(s),Mileage,Engine,Price,Location
1263,,Hyundai i Asta Option CVT BSIV,2018,25000,Petrol,Automatic,1,17.4,1197,825000,Pune
1264,,Volkswagen Polo - GT TSI,2016,47500,Petrol,Automatic,1,17.21,1197,700000,Pune
1265,,MG Hector Sharp DCT,2020,14500,Petrol,Automatic,1,13.96,1451,1800000,Pune
1266,,Hyundai Verna SX CRDi AT,2012,82403,Diesel,Automatic,1,19.08,1582,625000,Pune
1267,,Maruti Baleno Zeta Automatic,2017,21750,Petrol,Automatic,2,21.4,1197,675000,Pune
1268,,Volkswagen Vento Petrol Highline AT,2011,64900,Petrol,Automatic,1,14.4,1598,425000,Pune
1269,, Maruti Swift Dzire,2019,9718,Petrol,Manual,1,21.21,1197,665000,Ahmedabad
1270,, Honda City,2011,38647,Petrol,Manual,1,17,1497,399500,Ahmedabad
1271,, Maruti Alto K,2012,89579,Petrol,Manual,1,20.92,998,177500,Ahmedabad
1272,, Maruti Wagon R,2016,81674,Petrol,Manual,1,21.79,998,360000,Ahmedabad
1273,, Maruti S-Presso,2019,24230,Petrol,Manual,1,21.7,998,422000,Ahmedabad
1274,, Nissan Terrano,2016,74431,Diesel,Manual,2,20.45,1461,470500,Ahmedabad
1275,, Maruti Baleno,2017,49072,Petrol,Manual,1,21.01,1197,610000,Ahmedabad
1276,, Ford Ecosport,2016,42029,Diesel,Manual,1,22.77,1498,589500,Ahmedabad
1277,, Maruti Eeco,2012,57341,Petrol,Manual,1,16.11,1196,279000,Ahmedabad
1278,, Maruti Eeco,2020,17116,Petrol,Manual,1,16.11,1196,472000,Ahmedabad
1279,, Maruti Eeco,2020,19627,Petrol,Manual,1,16.11,1196,469500,Ahmedabad
1280,, Maruti Eeco,2019,14161,Petrol,Manual,1,15.37,1196,457000,Ahmedabad
1281,, Maruti Eeco,2016,45347,Petrol,Manual,1,15.37,1196,380500,Ahmedabad
1282,,Volkswagen Polo Diesel Comfortline .L,2013,74261,Diesel,Manual,2,22.07,1199,180000,Ahmedabad
1283,,Maruti Baleno Delta .,2016,63000,Petrol,Manual,1,21.4,1197,529000,Ahmedabad
1284,,Maruti Swift ZXI,2012,68000,Petrol,Manual,1,23.2,1197,405000,Ahmedabad
1285,, Maruti Swift,2013,72301,Diesel,Manual,1,22.9,1248,399000,Ahmedabad
1286,, Maruti Wagon R,2020,10371,Petrol,Manual,1,21.79,998,506500,Ahmedabad
1287,, Toyota Innova,2013,94754,Diesel,Manual,2,12.99,2494,670500,Ahmedabad
1288,, Maruti Wagon R,2011,60689,Petrol,Manual,1,20.51,998,267500,Ahmedabad
1289,, Maruti Wagon R,2013,85416,Petrol,Manual,2,20.51,998,279500,Ahmedabad
1290,, Maruti Swift,2018,31694,Diesel,Manual,1,28.4,1248,585000,Ahmedabad
1291,, Maruti Wagon R,2014,42381,Petrol,Manual,1,21.79,998,328500,Ahmedabad
1292,, Maruti Wagon R,2014,131125,Petrol,Manual,1,21.79,998,294500,Ahmedabad
1293,, Maruti Eeco,2017,88362,Petrol,Manual,1,16.11,1196,397000,Ahmedabad
1294,, Maruti Wagon R,2017,43031,Petrol,Manual,1,20.51,998,387000,Ahmedabad
1295,, Maruti Swift,2016,45090,Petrol,Manual,2,20.4,1197,464000,Ahmedabad
1296,, Maruti Swift Dzire,2019,9303,Petrol,Manual,1,21.21,1197,683500,Ahmedabad
1297,, Maruti Swift Dzire,2019,11935,Petrol,Manual,1,21.21,1197,695000,Ahmedabad
1298,, Maruti Swift Dzire,2012,80084,Diesel,Manual,1,23.4,1248,340500,Ahmedabad
1299,, Volkswagen Vento,2018,97922,Diesel,Manual,1,22.27,1498,711000,Ahmedabad
1300,, Maruti Swift Dzire,2015,54419,Diesel,Manual,1,26.59,1248,491500,Ahmedabad
1301,, Hyundai Grand i,2015,73875,Petrol,Manual,1,18.9,1197,480500,Ahmedabad
1302,, Hyundai Verna,2014,65484,Diesel,Manual,2,22.32,1582,543000,Ahmedabad
1303,, Honda Amaze,2017,59642,Petrol,Manual,1,17.8,1198,501500,Ahmedabad
1304,, Honda City,2018,89144,Petrol,Manual,1,17.4,1497,763500,Ahmedabad
1305,, Maruti Swift,2013,72301,Diesel,Manual,1,22.9,1248,399000,Ahmedabad
1306,, Maruti Wagon R,2020,10371,Petrol,Manual,1,21.79,998,506500,Ahmedabad
1307,, Toyota Innova,2013,94754,Diesel,Manual,2,12.99,2494,670500,Ahmedabad
1308,, Maruti Wagon R,2011,60689,Petrol,Manual,1,20.51,998,267500,Ahmedabad
1309,, Maruti Wagon R,2013,85416,Petrol,Manual,2,20.51,998,279500,Ahmedabad
1310,, Maruti Swift,2018,31694,Diesel,Manual,1,28.4,1248,585000,Ahmedabad
1311,, Maruti Wagon R,2014,42381,Petrol,Manual,1,21.79,998,328500,Ahmedabad
1312,, Maruti Wagon R,2014,131125,Petrol,Manual,1,21.79,998,294500,Ahmedabad
1313,, Maruti Eeco,2017,88362,Petrol,Manual,1,16.11,1196,397000,Ahmedabad
1314,, Maruti Wagon R,2017,43031,Petrol,Manual,1,20.51,998,387000,Ahmedabad
1315,, Maruti Swift,2016,45090,Petrol,Manual,2,20.4,1197,464000,Ahmedabad
1316,, Maruti Swift Dzire,2019,9303,Petrol,Manual,1,21.21,1197,683500,Ahmedabad
1317,, Maruti Swift Dzire,2019,11935,Petrol,Manual,1,21.21,1197,695000,Ahmedabad
1318,, Maruti Swift Dzire,2012,80084,Diesel,Manual,1,23.4,1248,340500,Ahmedabad
1319,, Volkswagen Vento,2018,97922,Diesel,Manual,1,22.27,1498,711000,Ahmedabad
1320,, Maruti Swift Dzire,2015,54419,Diesel,Manual,1,26.59,1248,491500,Ahmedabad
1321,, Hyundai Grand i,2015,73875,Petrol,Manual,1,18.9,1197,480500,Ahmedabad
1322,, Hyundai Verna,2014,65484,Diesel,Manual,2,22.32,1582,543000,Ahmedabad
1323,, Honda Amaze,2017,59642,Petrol,Manual,1,17.8,1198,501500,Ahmedabad
1324,, Honda City,2018,89144,Petrol,Manual,1,17.4,1497,763500,Ahmedabad
1325,,Ford EcoSport . TDCi Titanium BSIV,2016,51000,Diesel,Manual,1,22.77,1498,750000,Ahmedabad
1326,,Ford EcoSport . Diesel Titanium BSIV,2018,50000,Diesel,Manual,1,23,1498,825000,Ahmedabad
1327,,Volkswagen Vento Petrol Highline,2011,55417,Petrol,Manual,1,15.04,1598,375000,Ahmedabad
1328,,Maruti Swift Lxi BSIII,2009,75000,Petrol,Manual,2,16.1,1298,265000,Ahmedabad
1329,,Volkswagen Vento Diesel Highline,2011,68000,Diesel,Manual,1,20.54,1598,330000,Ahmedabad
1330,,Maruti Wagon R LXI,2010,21000,Petrol,Manual,1,21.79,998,279000,Ahmedabad
1331,,Honda Brio S MT,2012,44721,Petrol,Manual,1,19.4,1198,345000,Ahmedabad
1332,,Honda Amaze EX i-Dtech,2013,64000,Diesel,Manual,1,25.8,1498,389000,Ahmedabad
1333,,Mahindra Scorpio S  Seater,2014,59000,Diesel,Manual,2,15.4,2523,649000,Ahmedabad
1334,,Maruti Baleno Alpha,2018,28000,Petrol,Manual,1,21.01,1197,700000,Ahmedabad
1335,,Maruti SX S Cross DDiS  Alpha,2016,62000,Diesel,Manual,1,23.65,1248,590000,Ahmedabad
1336,,Mahindra Bolero Power Plus SLE,2018,69000,Diesel,Manual,1,16.5,1493,650000,Ahmedabad
1337,,Toyota Etios GD,2016,62000,Diesel,Manual,1,23.59,1364,575000,Ahmedabad
1338,,Hyundai i Magna Optional . CRDi,2013,65000,Diesel,Manual,1,21.9,1396,385000,Ahmedabad
1339,,Honda City i DTec V,2017,47638,Diesel,Manual,1,26,1498,850000,Ahmedabad
1340,,Hyundai Verna . SX CRDi (O),2015,64000,Diesel,Manual,1,22.32,1582,649000,Ahmedabad
1341,,Honda Mobilio S i DTEC,2015,41665,Diesel,Manual,1,24.2,1498,535000,Ahmedabad
1342,,Honda City i DTEC V,2014,65000,Diesel,Manual,1,26,1498,521000,Ahmedabad
1343,,Maruti Ertiga SHVS VDI,2016,42000,Diesel,Manual,1,24.52,1248,725000,Ahmedabad
1344,,Maruti Ciaz Alpha Diesel,2017,71000,Diesel,Manual,1,28.09,1248,725000,Ahmedabad
1345,,Hyundai Creta . SX Option,2017,50000,Petrol,Manual,1,15.8,1591,1051000,Ahmedabad
1346,,Maruti Swift Dzire VDI,2014,62000,Diesel,Manual,2,23.4,1248,475000,Ahmedabad
1347,,Maruti Swift VDI BSIV,2014,65000,Diesel,Manual,1,25.2,1248,490000,Ahmedabad
1348,,Maruti Swift Dzire VXI .,2018,62547,Petrol,Manual,1,21.21,1197,611000,Ahmedabad
1349,,Toyota Etios VD,2013,64000,Diesel,Manual,1,23.59,1364,375000,Ahmedabad
1350,,Honda Amaze S i-Dtech,2013,69000,Diesel,Manual,2,25.8,1498,339000,Ahmedabad
1351,,Hyundai i Magna . CRDi (Diesel),2012,62000,Diesel,Manual,1,21.9,1396,375000,Ahmedabad
1352,,Honda City . GXI,2004,90815,Petrol,Manual,3,12.8,1493,165000,Ahmedabad
1353,,Hyundai Grand i Sportz,2019,49000,Petrol,Manual,1,18.9,1197,575000,Ahmedabad
1354,,Ford EcoSport . Diesel Titanium BSIV,2018,19376,Diesel,Manual,1,23,1498,925000,Ahmedabad
1355,,Hyundai Getz . GVS,2009,61000,Petrol,Manual,1,15,1086,175000,Ahmedabad
1356,,Maruti Swift Dzire LDI Optional,2016,66000,Diesel,Manual,1,26.59,1248,484999,Ahmedabad
1357,,Toyota Fortuner x Manual,2012,82000,Diesel,Manual,1,13,2982,1175000,Ahmedabad
1358,,Hyundai Elantra CRDi SX,2013,60000,Diesel,Manual,2,22.7,1582,575000,Ahmedabad
1359,,Honda Amaze S i-Vtech,2015,41000,Petrol,Manual,1,18,1198,515000,Ahmedabad
1360,,Volkswagen Vento Petrol Highline,2011,53000,Petrol,Manual,1,15.04,1598,375000,Ahmedabad
1361,,Maruti Alto LX BSIII,2007,67000,Petrol,Manual,1,19.7,796,125000,Ahmedabad
1362,,Hyundai i Magna .L,2015,49186,Petrol,Manual,1,19.81,1086,385000,Ahmedabad
1363,,Maruti Alto LXi,2012,66000,Petrol,Manual,1,19.7,796,210000,Ahmedabad
1364,,Honda Amaze S i-Dtech,2014,67000,Diesel,Manual,1,25.8,1498,440000,Ahmedabad
1365,,Maruti Wagon R LXI,2008,68000,Petrol,Manual,2,21.79,998,190000,Ahmedabad
1366,,Toyota Fortuner . Diesel,2010,65000,Diesel,Manual,2,11.5,2982,890000,Ahmedabad
1367,,Toyota Innova . G (Diesel)  Seater,2013,72000,Diesel,Manual,1,12.99,2494,525000,Ahmedabad
1368,,Maruti Alto LXi,2010,28000,Petrol,Manual,1,19.7,796,204999,Ahmedabad
1369,,Maruti SX S Cross DDiS  Delta,2016,68000,Diesel,Manual,1,23.65,1248,595000,Ahmedabad
1370,,Hyundai i Sportz . CRDi,2016,96550,Diesel,Manual,1,22.54,1396,525000,Ahmedabad
1371,,Maruti Wagon R LXI Minor,2009,58000,Petrol,Manual,2,18.9,1061,180000,Ahmedabad
1372,,Volkswagen Vento Diesel Comfortline,2012,55000,Diesel,Manual,1,20.54,1598,330000,Ahmedabad
1373,,Hyundai Grand i Sportz,2016,47000,Petrol,Manual,1,18.9,1197,500000,Ahmedabad
1374,,Maruti Swift Dzire ZDi,2010,65000,Diesel,Manual,1,19.3,1248,339000,Ahmedabad
1375,,Hyundai i . Sportz,2012,45698,Petrol,Manual,1,17,1197,429000,Ahmedabad
1376,,Maruti Ertiga ZXI,2016,35698,Petrol,Manual,1,19.01,1462,649000,Ahmedabad
1377,,Volkswagen Polo Petrol Trendline .L,2011,47000,Petrol,Manual,1,16.47,1198,315000,Ahmedabad
1378,,Toyota Innova . G (Diesel)  Seater,2011,83000,Diesel,Manual,1,12.99,2494,569000,Ahmedabad
1379,,Tata Tiago Wizz . Revotron,2017,59000,Petrol,Manual,1,23.84,1199,440000,Ahmedabad
1380,,Maruti Swift Dzire VDI,2015,48570,Diesel,Manual,1,28.4,1248,486000,Ahmedabad
1381,,Maruti Ciaz Zeta .,2017,82000,Diesel,Manual,1,26.32,1498,695000,Ahmedabad
1382,,Toyota Etios GD,2016,62000,Diesel,Manual,1,23.59,1364,575000,Ahmedabad
1383,,Hyundai i Magna .,2010,66000,Petrol,Manual,2,20.36,1197,240000,Ahmedabad
1384,,Honda Jazz . SV i VTEC,2017,26000,Petrol,Manual,1,18.7,1199,550000,Ahmedabad
1385,,Maruti Swift ZDi,2014,85000,Diesel,Manual,1,22.9,1248,425000,Ahmedabad
1386,,Volkswagen Jetta . TDI Trendline,2011,69000,Diesel,Manual,1,15,1896,294000,Ahmedabad
1387,,Renault Pulse RxL,2013,21764,Diesel,Manual,1,23.08,1461,350000,Ahmedabad
1388,,Volkswagen Vento Diesel Trendline,2012,63940,Diesel,Manual,2,20.54,1598,351000,Ahmedabad
1389,,Hyundai i Magna,2012,85000,Petrol,Manual,2,20.36,1197,270000,Ahmedabad
1390,,Mahindra XUV W WD,2016,109000,Diesel,Manual,1,16,2179,851000,Ahmedabad
1391,,Honda City i VTEC V,2017,59000,Petrol,Manual,1,17.8,1497,825000,Ahmedabad
1392,,Volkswagen Polo - . TDI Highline,2016,35000,Diesel,Manual,1,20.14,1498,575000,Ahmedabad
1393,,Mahindra Bolero - DI BSIII,2018,74000,Diesel,Manual,1,13.6,2523,565000,Ahmedabad
1394,,Nissan Micra Diesel XV,2011,67000,Diesel,Manual,2,23.08,1461,225000,Ahmedabad
1395,,Renault KWID RXT,2016,28000,Petrol,Manual,1,22.3,799,370000,Ahmedabad
1396,,Hyundai Creta . VTVT SX Plus,2018,27000,Petrol,Manual,1,13,1591,1150000,Ahmedabad
1397,,Hyundai Venue SX Opt Turbo BSIV,2019,31492,Petrol,Manual,1,18.27,998,969999,Ahmedabad
1398,,Maruti Swift VDI,2013,87000,Diesel,Manual,1,22.9,1248,375000,Ahmedabad
1399,,Hyundai i Era,2011,76385,Petrol,Manual,1,19.81,1086,275000,Ahmedabad
1400,,Maruti Estilo LXI,2010,64000,Petrol,Manual,1,19.5,1061,185000,Ahmedabad
1401,,Volkswagen Ameo . TDI Comfortline,2017,29000,Diesel,Manual,1,21.66,1498,600000,Ahmedabad
1402,,Maruti SX S Cross DDiS  Delta,2015,60428,Diesel,Manual,1,22.7,1598,650000,Ahmedabad
1403,,Renault Duster PS Diesel RxZ,2013,80000,Diesel,Manual,1,19.6,1461,424000,Ahmedabad
1404,,Hyundai Creta . E Plus,2018,48000,Petrol,Manual,1,15.8,1591,925000,Ahmedabad
1405,,Hyundai EON Magna,2012,79500,Petrol,Manual,2,22,814,227999,Ahmedabad
1406,,Maruti Vitara Brezza VDi,2019,34000,Diesel,Manual,1,24.3,1248,860000,Ahmedabad
1407,,Mahindra Bolero - DI BSIII,2018,74000,Diesel,Manual,1,13.6,2523,565000,Ahmedabad
1408,,Nissan Micra Diesel XV,2011,67000,Diesel,Manual,2,23.08,1461,225000,Ahmedabad
1409,,Renault KWID RXT,2016,28000,Petrol,Manual,1,22.3,799,370000,Ahmedabad
1410,,Hyundai Creta . VTVT SX Plus,2018,27000,Petrol,Manual,1,13,1591,1150000,Ahmedabad
1411,,Hyundai Venue SX Opt Turbo BSIV,2019,31492,Petrol,Manual,1,18.27,998,969999,Ahmedabad
1412,,Maruti Swift VDI,2013,87000,Diesel,Manual,1,22.9,1248,375000,Ahmedabad
1413,,Hyundai i Era,2011,76385,Petrol,Manual,1,19.81,1086,275000,Ahmedabad
1414,,Maruti Estilo LXI,2010,64000,Petrol,Manual,1,19.5,1061,185000,Ahmedabad
1415,,Volkswagen Ameo . TDI Comfortline,2017,29000,Diesel,Manual,1,21.66,1498,600000,Ahmedabad
1416,,Maruti SX S Cross DDiS  Delta,2015,60428,Diesel,Manual,1,22.7,1598,650000,Ahmedabad
1417,,Renault Duster PS Diesel RxZ,2013,80000,Diesel,Manual,1,19.6,1461,424000,Ahmedabad
1418,,Hyundai Creta . E Plus,2018,48000,Petrol,Manual,1,15.8,1591,925000,Ahmedabad
1419,,Toyota Etios GD,2013,68000,Diesel,Manual,1,23.59,1364,390000,Ahmedabad
1420,,Toyota Innova . G Diesel -seater,2009,76000,Diesel,Manual,3,12.8,2494,400000,Ahmedabad
1421,,Maruti Ertiga SHVS VDI Limited Edition,2017,65000,Diesel,Manual,2,24.52,1248,751000,Ahmedabad
1422,,Mahindra Quanto C,2012,51000,Diesel,Manual,1,17.21,1493,339000,Ahmedabad
1423,,Toyota Innova . GX (Diesel)  Seater BS IV,2015,55000,Diesel,Manual,1,12.8,2494,1000000,Ahmedabad
1424,,Honda Amaze - S i-DTEC,2018,19951,Diesel,Manual,1,25.8,1498,750000,Ahmedabad
1425,,Hyundai Verna . SX CRDi (O),2013,70000,Diesel,Manual,2,22.32,1582,451000,Ahmedabad
1426,,Toyota Innova Crysta - . ZX MT,2016,148540,Diesel,Manual,1,13.68,2393,1550000,Ahmedabad
1427,,Toyota Etios Liva GD,2012,56000,Diesel,Manual,1,23.59,1364,325000,Ahmedabad
1428,,Hyundai Verna . CRDi S,2016,56000,Diesel,Manual,1,23.9,1582,621000,Ahmedabad
1429,,Maruti Ignis Delta,2017,25000,Petrol,Manual,1,20.89,1197,490000,Ahmedabad
1430,,Maruti Ciaz ZXi,2015,58000,Petrol,Manual,1,20.73,1373,625000,Ahmedabad
1431,,Skoda Laura Ambition . TDI CR MT,2013,72000,Diesel,Manual,1,20,1968,450000,Ahmedabad
1432,,Maruti Alto K LXI,2011,20000,Petrol,Manual,1,20.92,998,250000,Ahmedabad
1433,,Hyundai i - Magna . CRDi,2017,52000,Diesel,Manual,1,22.54,1396,575000,Ahmedabad
1434,,Honda City . S MT,2011,78000,Petrol,Manual,1,17,1497,400000,Ahmedabad
1435,,Hyundai EON Magna Plus,2016,42001,Petrol,Manual,1,21.1,814,325000,Ahmedabad
1436,,Tata Harrier XZ BSIV,2019,69000,Diesel,Manual,1,17,1956,1525000,Ahmedabad
1437,,Maruti Ciaz Alpha BSIV,2019,45000,Petrol,Manual,1,21.56,1462,925000,Ahmedabad
1438,,Ford Aspire . TDCi Titanium,2017,68001,Diesel,Manual,1,25.83,1498,600000,Ahmedabad
1439,,Maruti Ertiga SHVS VDI,2016,69000,Diesel,Manual,1,24.52,1248,691000,Ahmedabad
1440,,Maruti Ciaz Alpha .,2019,31001,Diesel,Manual,1,26.82,1498,925000,Ahmedabad
1441,,Mahindra XUV W WD,2015,89000,Diesel,Manual,1,16,2179,891000,Ahmedabad
1442,,Renault Duster PS Diesel RxS,2019,42000,Diesel,Manual,1,19.87,1461,850000,Ahmedabad
1443,,Maruti Vitara Brezza VDi,2018,52793,Diesel,Manual,1,24.3,1248,770000,Ahmedabad
1444,,Hyundai Creta . E Plus,2017,50000,Diesel,Manual,1,22.1,1396,875000,Ahmedabad
1445,,Hyundai i Magna Optional . CRDi,2013,52000,Diesel,Manual,1,21.9,1396,350000,Ahmedabad
1446,,Honda Amaze S i-Dtech,2013,80000,Diesel,Manual,1,25.8,1498,369000,Ahmedabad
1447,,Volkswagen Polo . MPI Comfortline,2015,65000,Petrol,Manual,1,16.47,1198,440000,Ahmedabad
1448,,Honda City i DTEC SV,2015,63000,Diesel,Manual,2,26,1498,551000,Ahmedabad
1449,,Honda Mobilio RS Option i DTEC,2014,85000,Diesel,Manual,1,24.5,1498,575000,Ahmedabad
1450,,Maruti Swift Dzire ZXi,2012,40000,Petrol,Manual,1,17.5,1298,425000,Ahmedabad
1451,,Honda City E,2012,100011,Petrol,Manual,1,16.8,1497,465000,Ahmedabad
1452,,Maruti Swift VDI,2014,92000,Diesel,Manual,1,22.9,1248,409999,Ahmedabad
1453,,Honda Amaze SX i-DTEC,2015,58000,Diesel,Manual,1,25.8,1498,360000,Ahmedabad
1454,,Kia Seltos GTX Plus,2019,16000,Petrol,Manual,1,16.1,1353,1675000,Ahmedabad
1455,,Maruti Swift Dzire VDI,2013,52000,Diesel,Manual,1,23.4,1248,415000,Ahmedabad
1456,,Volkswagen Vento Diesel Comfortline,2013,58632,Diesel,Manual,1,20.54,1598,425000,Ahmedabad
1457,,Maruti Swift ZDi,2012,65000,Diesel,Manual,1,22.9,1248,390000,Ahmedabad
1458,,Maruti Ciaz VDi Plus,2015,54000,Diesel,Manual,1,26.21,1248,525000,Ahmedabad
1459,,Tata Manza Club Class Quadrajet EX,2014,66000,Diesel,Manual,1,21.02,1248,275000,Ahmedabad
1460,,Toyota Innova . G (Diesel)  Seater BS IV,2011,83000,Diesel,Manual,1,12.8,2494,570000,Ahmedabad
1461,,Maruti Baleno Delta .,2016,83000,Diesel,Manual,1,27.39,1248,539000,Ahmedabad
1462,,Honda City i DTEC V,2016,65000,Diesel,Manual,1,26,1498,645000,Ahmedabad
1463,,Ford EcoSport . Diesel Trend,2015,49000,Diesel,Manual,1,21.7,1498,515000,Ahmedabad
1464,,Hyundai Xcent . CRDi S,2017,64000,Diesel,Manual,1,24.4,1120,534000,Ahmedabad
1465,,Honda City i DTEC SV,2015,63000,Diesel,Manual,2,26,1498,551000,Ahmedabad
1466,,Maruti Swift Dzire ZXi,2012,40000,Petrol,Manual,1,17.5,1298,425000,Ahmedabad
1467,,Honda City E,2012,100011,Petrol,Manual,1,16.8,1497,465000,Ahmedabad
1468,,Maruti Swift VDI,2014,92000,Diesel,Manual,1,22.9,1248,409999,Ahmedabad
1469,,Honda Amaze SX i-DTEC,2015,58000,Diesel,Manual,1,25.8,1498,360000,Ahmedabad
1470,,Kia Seltos GTX Plus,2019,16000,Petrol,Manual,1,16.1,1353,1675000,Ahmedabad
1471,,Maruti Swift Dzire VDI,2013,52000,Diesel,Manual,1,23.4,1248,415000,Ahmedabad
1472,,Volkswagen Vento Diesel Comfortline,2013,58632,Diesel,Manual,1,20.54,1598,425000,Ahmedabad
1473,,Maruti Swift ZDi,2012,65000,Diesel,Manual,1,22.9,1248,390000,Ahmedabad
1474,,Maruti Ciaz VDi Plus,2015,54000,Diesel,Manual,1,26.21,1248,525000,Ahmedabad
1475,,Tata Manza Club Class Quadrajet EX,2014,66000,Diesel,Manual,1,21.02,1248,275000,Ahmedabad
1476,,Maruti Baleno Delta .,2016,83000,Diesel,Manual,1,27.39,1248,539000,Ahmedabad
1477,,Honda City i DTEC V,2016,65000,Diesel,Manual,1,26,1498,645000,Ahmedabad
1478,,Ford EcoSport . Diesel Trend,2015,49000,Diesel,Manual,1,21.7,1498,515000,Ahmedabad
1479,,Maruti Swift VDI BSIV,2014,72558,Diesel,Manual,2,25.2,1248,382000,Ahmedabad
1480,,Honda City . S MT,2010,62000,Petrol,Manual,2,17,1497,370000,Ahmedabad
1481,,Maruti Swift Dzire VDI,2015,65000,Diesel,Manual,1,26.59,1248,491000,Ahmedabad
1482,,Ford Figo Diesel EXI,2012,56000,Diesel,Manual,1,20,1399,275000,Ahmedabad
1483,,Honda Jazz . S i DTEC,2017,51003,Diesel,Manual,1,27.3,1498,625000,Ahmedabad
1484,,Renault Scala Diesel RxL,2013,60003,Diesel,Manual,1,21.64,1461,325000,Ahmedabad
1485,,Maruti Ciaz ZDi Plus,2016,76001,Diesel,Manual,1,26.21,1248,715000,Ahmedabad
1486,,Maruti Ciaz ZDi Plus SHVS,2017,60001,Diesel,Manual,1,28.09,1248,650000,Ahmedabad
1487,,Hyundai Verna CRDi . SX,2017,54000,Diesel,Manual,1,22,1582,700000,Ahmedabad
1488,,Ford Figo .P Titanium MT,2017,35000,Petrol,Manual,1,18.16,1196,450000,Ahmedabad
1489,,Mahindra KUV  mFALCON D K,2017,54000,Diesel,Manual,1,25.32,1198,385000,Ahmedabad
1490,,Hyundai i Magna Optional . CRDi,2013,56000,Diesel,Manual,1,21.9,1396,375000,Ahmedabad
1491,,Tata Nexon . Revotorq XM,2018,59000,Diesel,Manual,1,21.5,1497,775000,Ahmedabad
1492,,Toyota Innova . GX (Diesel)  Seater BS IV,2012,91000,Diesel,Manual,1,12.99,2494,625000,Ahmedabad
1493,,Nissan Micra Diesel XV Premium,2012,100000,Diesel,Manual,1,23.08,1461,244000,Ahmedabad
1494,,Maruti Swift VXI,2013,33000,Petrol,Manual,1,18.6,1197,469000,Ahmedabad
1495,,Datsun RediGO Sport,2018,30000,Petrol,Manual,1,22.7,799,261000,Ahmedabad
1496,,Renault Duster PS Diesel RxZ,2015,59000,Diesel,Manual,1,19.6,1461,525000,Ahmedabad
1497,,Hyundai Xcent . CRDi S,2014,51000,Diesel,Manual,1,24.4,1120,390000,Ahmedabad
1498,,Honda Amaze S i-Dtech,2014,77000,Diesel,Manual,1,25.8,1498,390000,Ahmedabad
1499,,Honda Brio V MT,2013,44000,Petrol,Manual,1,19.4,1198,375000,Ahmedabad
1500,,Honda Jazz . SV i DTEC,2016,60000,Diesel,Manual,1,27.3,1498,575000,Ahmedabad
1501,,Maruti Ertiga VDI,2015,86205,Diesel,Manual,1,25.47,1248,590000,Ahmedabad
1502,,Hyundai i . Magna,2011,62534,Petrol,Manual,2,18.5,1197,289000,Ahmedabad
1503,,Jeep Compass . Limited,2017,62000,Diesel,Manual,1,17.1,1956,1290000,Ahmedabad
1504,,Honda City i DTEC SV,2015,68000,Diesel,Manual,1,26,1498,585000,Ahmedabad
1505,,Hyundai Verna . CRDi SX,2015,83545,Diesel,Manual,1,23.9,1582,590000,Ahmedabad
1506,,Hyundai Verna . CRDi SX,2016,58000,Diesel,Manual,1,23.9,1582,651000,Ahmedabad
1507,,Honda Brio S MT,2013,48000,Petrol,Manual,1,19.4,1198,350000,Ahmedabad
1508,,Maruti Wagon R LXI BSIII,2009,51000,Petrol,Manual,1,18.9,998,199000,Ahmedabad
1509,,Maruti Swift Dzire VXI,2015,65000,Petrol,Manual,1,20.85,1197,475000,Ahmedabad
1510,,Hyundai Getz . GVS Option,2009,61000,Petrol,Manual,1,12.3,1086,175000,Ahmedabad
1511,,Honda WR-V i-DTEC VX,2018,76000,Diesel,Manual,1,25.5,1498,840000,Ahmedabad
1512,,Maruti Vitara Brezza VDi Option,2018,89000,Diesel,Manual,1,24.3,1248,765000,Ahmedabad
1513,,Nissan Sunny XV,2013,60000,Petrol,Manual,1,16.95,1498,425000,Ahmedabad
1514,,Nissan Sunny XV,2013,60000,Petrol,Manual,1,16.95,1498,425000,Ahmedabad
1515,,Toyota Innova . GX (Diesel)  Seater,2014,65000,Diesel,Manual,2,12.99,2494,725000,Ahmedabad
1516,,Honda Brio S MT,2013,53000,Petrol,Manual,2,19.4,1198,325000,Ahmedabad
1517,,Volkswagen Vento Konekt Diesel Comfortline,2014,66000,Diesel,Manual,1,20.54,1598,400000,Ahmedabad
1518,,Honda New Accord - . MT,2008,85693,Petrol,Manual,2,12.8,2354,300000,Ahmedabad
1519,,Honda Civic . V MT,2008,55000,Petrol,Manual,1,13.5,1799,275000,Ahmedabad
1520,,Honda Brio S MT,2013,40000,Petrol,Manual,1,19.4,1198,359000,Ahmedabad
1521,,Maruti Ritz VXi,2014,60000,Petrol,Manual,1,18.5,1197,365000,Ahmedabad
1522,,Ford Figo Aspire Titanium,2018,41200,Petrol,Manual,1,18.5,1194,600000,Ahmedabad
1523,,Honda City i DTEC VX,2014,52000,Diesel,Manual,1,25.1,1498,575000,Ahmedabad
1524,,Chevrolet Enjoy TCDi LS  Seater,2013,85472,Diesel,Manual,1,18.2,1248,349000,Ahmedabad
1525,,Hyundai i . Magna Executive,2017,52000,Diesel,Manual,1,22.54,1396,575000,Ahmedabad
1526,,Volkswagen Vento Konekt Diesel Comfortline,2014,55000,Diesel,Manual,1,20.54,1598,420000,Ahmedabad
